type,start,end,pre,post,pre_val,post_val,hours
flat_values,2013-12-06 13:00:00+01:00,2013-12-06 15:30:00+01:00,,,,,2.5
flat_values,2013-12-06 17:15:00+01:00,2013-12-07 05:15:00+01:00,,,,,12.0
flat_values,2013-12-07 19:15:00+01:00,2013-12-07 21:46:00+01:00,,,,,2.5166666666666666
flat_values,2013-12-08 12:30:00+01:00,2013-12-08 15:15:00+01:00,,,,,2.75
flat_values,2013-12-08 18:30:00+01:00,2013-12-09 03:00:00+01:00,,,,,8.5
flat_values,2013-12-18 01:31:00+01:00,2013-12-18 03:31:00+01:00,,,,,2.0
flat_values,2014-01-07 22:15:00+01:00,2014-01-08 00:15:00+01:00,,,,,2.0
flat_values,2014-01-13 07:46:00+01:00,2014-01-13 09:46:00+01:00,,,,,2.0
flat_values,2014-01-21 10:16:00+01:00,2014-01-28 11:15:00+01:00,,,,,168.98333333333332
flat_values,2014-01-29 23:00:00+01:00,2014-01-30 01:15:00+01:00,,,,,2.25
flat_values,2014-01-30 05:30:00+01:00,2014-01-30 08:45:00+01:00,,,,,3.25
flat_values,2014-01-31 13:45:00+01:00,2014-01-31 15:46:00+01:00,,,,,2.0166666666666666
flat_values,2014-01-31 22:31:00+01:00,2014-02-01 00:45:00+01:00,,,,,2.2333333333333334
flat_values,2014-02-01 06:00:00+01:00,2014-02-01 08:01:00+01:00,,,,,2.0166666666666666
flat_values,2014-02-01 20:16:00+01:00,2014-02-01 23:46:00+01:00,,,,,3.5
flat_values,2014-02-02 01:46:00+01:00,2014-02-02 03:46:00+01:00,,,,,2.0
flat_values,2014-02-10 23:01:00+01:00,2014-02-11 01:16:00+01:00,,,,,2.25
flat_values,2014-02-21 05:15:00+01:00,2014-02-21 07:30:00+01:00,,,,,2.25
flat_values,2014-02-22 00:00:00+01:00,2014-02-22 03:00:00+01:00,,,,,3.0
flat_values,2014-03-06 21:31:00+01:00,2014-03-06 23:46:00+01:00,,,,,2.25
flat_values,2014-03-13 22:45:00+01:00,2014-03-14 00:45:00+01:00,,,,,2.0
flat_values,2014-03-20 14:15:00+01:00,2014-03-20 16:30:00+01:00,,,,,2.25
flat_values,2014-03-24 01:15:00+01:00,2014-03-24 03:45:00+01:00,,,,,2.5
flat_values,2014-03-24 15:30:00+01:00,2014-03-27 10:00:00+01:00,,,,,66.5
flat_values,2014-03-27 21:00:00+01:00,2014-03-27 23:15:00+01:00,,,,,2.25
flat_values,2014-03-28 22:30:00+01:00,2014-03-29 00:30:00+01:00,,,,,2.0
flat_values,2014-10-30 14:00:00+01:00,2014-10-30 16:15:00+01:00,,,,,2.25
flat_values,2014-11-03 15:30:00+01:00,2014-11-03 17:45:00+01:00,,,,,2.25
flat_values,2014-11-10 23:45:00+01:00,2014-11-17 14:30:00+01:00,,,,,158.75
flat_values,2014-11-18 04:30:00+01:00,2014-11-18 07:30:00+01:00,,,,,3.0
flat_values,2014-11-18 23:15:00+01:00,2014-11-19 01:30:00+01:00,,,,,2.25
flat_values,2014-12-10 02:00:00+01:00,2014-12-10 04:30:00+01:00,,,,,2.5
flat_values,2014-12-17 16:45:00+01:00,2014-12-17 18:45:00+01:00,,,,,2.0
flat_values,2014-12-20 20:00:00+01:00,2014-12-20 22:00:00+01:00,,,,,2.0
flat_values,2015-01-03 17:30:00+01:00,2015-01-03 19:45:00+01:00,,,,,2.25
flat_values,2015-01-05 15:00:00+01:00,2015-01-21 13:45:00+01:00,,,,,382.75
flat_values,2015-01-26 01:15:00+01:00,2015-01-26 14:00:00+01:00,,,,,12.75
flat_values,2015-01-30 18:15:00+01:00,2015-02-02 16:15:00+01:00,,,,,70.0
flat_values,2015-02-24 01:45:00+01:00,2015-02-24 07:45:00+01:00,,,,,6.0
flat_values,2015-02-25 23:30:00+01:00,2015-02-26 02:30:00+01:00,,,,,3.0
flat_values,2015-02-27 04:15:00+01:00,2015-02-27 06:15:00+01:00,,,,,2.0
flat_values,2015-02-28 22:15:00+01:00,2015-03-01 01:31:00+01:00,,,,,3.2666666666666666
flat_values,2015-03-02 21:00:00+01:00,2015-03-02 23:45:00+01:00,,,,,2.75
flat_values,2015-03-03 00:30:00+01:00,2015-03-03 03:00:00+01:00,,,,,2.5
flat_values,2015-03-03 12:15:00+01:00,2015-03-03 15:30:00+01:00,,,,,3.25
flat_values,2015-03-03 19:45:00+01:00,2015-03-03 23:00:00+01:00,,,,,3.25
flat_values,2015-03-03 23:30:00+01:00,2015-03-04 01:45:00+01:00,,,,,2.25
flat_values,2015-03-04 04:15:00+01:00,2015-03-04 06:45:00+01:00,,,,,2.5
flat_values,2015-03-04 12:00:00+01:00,2015-03-04 14:45:00+01:00,,,,,2.75
flat_values,2015-03-05 16:45:00+01:00,2015-03-05 18:45:00+01:00,,,,,2.0
flat_values,2015-03-12 00:00:00+01:00,2015-03-12 03:00:00+01:00,,,,,3.0
flat_values,2015-03-12 04:00:00+01:00,2015-03-12 07:15:00+01:00,,,,,3.25
flat_values,2015-03-12 23:45:00+01:00,2015-03-13 02:00:00+01:00,,,,,2.25
flat_values,2015-03-14 03:30:00+01:00,2015-03-14 07:00:00+01:00,,,,,3.5
flat_values,2015-03-15 00:45:00+01:00,2015-03-15 03:15:00+01:00,,,,,2.5
flat_values,2015-03-16 00:15:00+01:00,2015-03-16 02:30:00+01:00,,,,,2.25
flat_values,2015-03-16 20:30:00+01:00,2015-03-16 22:30:00+01:00,,,,,2.0
flat_values,2015-03-17 03:00:00+01:00,2015-03-17 05:15:00+01:00,,,,,2.25
flat_values,2015-03-18 01:00:00+01:00,2015-03-18 03:00:00+01:00,,,,,2.0
flat_values,2015-03-19 01:30:00+01:00,2015-03-19 07:15:00+01:00,,,,,5.75
flat_values,2015-03-20 03:45:00+01:00,2015-03-20 07:30:00+01:00,,,,,3.75
flat_values,2015-03-24 03:45:00+01:00,2015-03-24 06:30:00+01:00,,,,,2.75
flat_values,2015-03-26 01:00:00+01:00,2015-03-26 03:45:00+01:00,,,,,2.75
flat_values,2015-03-28 01:45:00+01:00,2015-03-28 04:15:00+01:00,,,,,2.5
flat_values,2015-03-28 23:30:00+01:00,2015-03-29 01:45:00+01:00,,,,,2.25
flat_values,2015-03-29 01:45:00+01:00,2015-10-25 02:30:00+01:00,,,,,5040.75
flat_values,2015-11-19 20:45:00+01:00,2015-11-21 01:15:00+01:00,,,,,28.5
flat_values,2015-11-21 01:15:00+01:00,2015-11-21 07:30:00+01:00,,,,,6.25
flat_values,2015-11-21 08:00:00+01:00,2015-11-23 14:15:00+01:00,,,,,54.25
flat_values,2015-11-24 21:01:00+01:00,2015-11-30 14:16:00+01:00,,,,,137.25
flat_values,2015-11-30 15:01:00+01:00,2015-12-04 11:15:00+01:00,,,,,92.23333333333333
flat_values,2015-12-05 10:01:00+01:00,2015-12-07 14:31:00+01:00,,,,,52.5
flat_values,2015-12-09 22:16:00+01:00,2015-12-10 00:31:00+01:00,,,,,2.25
flat_values,2015-12-10 18:16:00+01:00,2015-12-10 22:16:00+01:00,,,,,4.0
flat_values,2015-12-10 23:46:00+01:00,2015-12-11 02:16:00+01:00,,,,,2.5
flat_values,2015-12-11 06:31:00+01:00,2015-12-11 09:16:00+01:00,,,,,2.75
flat_values,2015-12-11 12:16:00+01:00,2015-12-11 15:01:00+01:00,,,,,2.75
flat_values,2015-12-12 16:16:00+01:00,2015-12-12 20:46:00+01:00,,,,,4.5
flat_values,2015-12-13 01:01:00+01:00,2015-12-13 03:31:00+01:00,,,,,2.5
flat_values,2015-12-13 04:01:00+01:00,2015-12-13 06:01:00+01:00,,,,,2.0
flat_values,2015-12-13 11:16:00+01:00,2015-12-13 15:01:00+01:00,,,,,3.75
flat_values,2015-12-13 20:31:00+01:00,2015-12-13 22:31:00+01:00,,,,,2.0
flat_values,2015-12-15 02:15:00+01:00,2015-12-15 05:45:00+01:00,,,,,3.5
flat_values,2015-12-15 20:30:00+01:00,2015-12-15 22:45:00+01:00,,,,,2.25
flat_values,2015-12-16 05:45:00+01:00,2015-12-16 09:15:00+01:00,,,,,3.5
flat_values,2015-12-16 22:15:00+01:00,2015-12-17 01:30:00+01:00,,,,,3.25
flat_values,2015-12-17 02:45:00+01:00,2015-12-17 05:15:00+01:00,,,,,2.5
flat_values,2015-12-17 06:30:00+01:00,2015-12-17 09:00:00+01:00,,,,,2.5
flat_values,2015-12-18 00:15:00+01:00,2015-12-18 03:45:00+01:00,,,,,3.5
flat_values,2015-12-18 12:30:00+01:00,2015-12-18 14:45:00+01:00,,,,,2.25
flat_values,2015-12-18 23:15:00+01:00,2015-12-19 01:15:00+01:00,,,,,2.0
flat_values,2015-12-19 04:45:00+01:00,2015-12-19 08:00:00+01:00,,,,,3.25
flat_values,2015-12-20 05:30:00+01:00,2015-12-20 07:30:00+01:00,,,,,2.0
flat_values,2015-12-20 11:00:00+01:00,2015-12-20 13:15:00+01:00,,,,,2.25
flat_values,2015-12-20 22:00:00+01:00,2015-12-21 00:45:00+01:00,,,,,2.75
flat_values,2015-12-22 00:15:00+01:00,2015-12-22 02:15:00+01:00,,,,,2.0
flat_values,2015-12-24 21:15:00+01:00,2015-12-24 23:30:00+01:00,,,,,2.25
flat_values,2015-12-31 00:45:00+01:00,2015-12-31 03:00:00+01:00,,,,,2.25
flat_values,2016-02-02 03:01:00+01:00,2016-02-02 07:16:00+01:00,,,,,4.25
flat_values,2016-02-02 22:01:00+01:00,2016-02-03 01:01:00+01:00,,,,,3.0
flat_values,2016-02-03 17:46:00+01:00,2016-02-03 20:01:00+01:00,,,,,2.25
flat_values,2016-02-03 20:31:00+01:00,2016-02-03 23:31:00+01:00,,,,,3.0
flat_values,2016-02-04 02:31:00+01:00,2016-02-04 05:46:00+01:00,,,,,3.25
flat_values,2016-02-04 21:01:00+01:00,2016-02-05 00:31:00+01:00,,,,,3.5
flat_values,2016-02-05 23:46:00+01:00,2016-02-06 02:46:00+01:00,,,,,3.0
flat_values,2016-02-06 03:16:00+01:00,2016-02-06 05:16:00+01:00,,,,,2.0
flat_values,2016-02-07 05:16:00+01:00,2016-02-07 07:31:00+01:00,,,,,2.25
flat_values,2016-02-07 12:16:00+01:00,2016-02-07 16:01:00+01:00,,,,,3.75
flat_values,2016-02-07 20:31:00+01:00,2016-02-08 02:01:00+01:00,,,,,5.5
flat_values,2016-02-08 04:01:00+01:00,2016-02-08 06:31:00+01:00,,,,,2.5
flat_values,2016-02-08 22:16:00+01:00,2016-02-09 08:31:00+01:00,,,,,10.25
flat_values,2016-02-09 22:31:00+01:00,2016-02-10 01:01:00+01:00,,,,,2.5
flat_values,2016-02-10 02:16:00+01:00,2016-02-10 05:16:00+01:00,,,,,3.0
flat_values,2016-02-10 06:31:00+01:00,2016-02-10 09:46:00+01:00,,,,,3.25
flat_values,2016-02-10 10:16:00+01:00,2016-02-10 12:46:00+01:00,,,,,2.5
flat_values,2016-02-10 23:46:00+01:00,2016-02-11 01:46:00+01:00,,,,,2.0
flat_values,2016-02-11 02:31:00+01:00,2016-02-11 08:31:00+01:00,,,,,6.0
flat_values,2016-02-11 13:01:00+01:00,2016-02-11 15:01:00+01:00,,,,,2.0
flat_values,2016-02-12 02:46:00+01:00,2016-02-12 06:31:00+01:00,,,,,3.75
flat_values,2016-02-12 21:01:00+01:00,2016-02-12 23:01:00+01:00,,,,,2.0
flat_values,2016-02-13 00:16:00+01:00,2016-02-13 03:31:00+01:00,,,,,3.25
flat_values,2016-02-13 20:31:00+01:00,2016-02-14 00:01:00+01:00,,,,,3.5
flat_values,2016-02-14 00:46:00+01:00,2016-02-14 05:01:00+01:00,,,,,4.25
flat_values,2016-02-14 06:01:00+01:00,2016-02-14 08:31:00+01:00,,,,,2.5
flat_values,2016-02-14 11:16:00+01:00,2016-02-14 14:16:00+01:00,,,,,3.0
flat_values,2016-02-15 19:16:00+01:00,2016-02-15 22:46:00+01:00,,,,,3.5
flat_values,2016-02-16 05:01:00+01:00,2016-02-16 08:31:00+01:00,,,,,3.5
flat_values,2016-02-16 13:01:00+01:00,2016-02-16 15:01:00+01:00,,,,,2.0
flat_values,2016-02-17 20:31:00+01:00,2016-02-18 01:01:00+01:00,,,,,4.5
flat_values,2016-02-18 02:46:00+01:00,2016-02-18 06:46:00+01:00,,,,,4.0
flat_values,2016-02-18 20:31:00+01:00,2016-02-18 23:01:00+01:00,,,,,2.5
flat_values,2016-02-19 00:31:00+01:00,2016-02-19 07:01:00+01:00,,,,,6.5
flat_values,2016-02-20 02:01:00+01:00,2016-02-20 04:46:00+01:00,,,,,2.75
flat_values,2016-02-21 03:16:00+01:00,2016-02-21 05:16:00+01:00,,,,,2.0
flat_values,2016-02-21 23:16:00+01:00,2016-02-22 02:16:00+01:00,,,,,3.0
flat_values,2016-02-22 03:16:00+01:00,2016-02-22 08:46:00+01:00,,,,,5.5
flat_values,2016-02-22 12:01:00+01:00,2016-02-22 14:16:00+01:00,,,,,2.25
flat_values,2016-02-23 01:46:00+01:00,2016-02-23 04:16:00+01:00,,,,,2.5
flat_values,2016-02-23 09:31:00+01:00,2016-02-23 11:31:00+01:00,,,,,2.0
flat_values,2016-02-23 22:46:00+01:00,2016-02-24 00:46:00+01:00,,,,,2.0
flat_values,2016-02-24 03:31:00+01:00,2016-02-24 08:01:00+01:00,,,,,4.5
flat_values,2016-02-24 08:01:00+01:00,2016-02-24 10:01:00+01:00,,,,,2.0
flat_values,2016-02-24 20:01:00+01:00,2016-02-24 23:46:00+01:00,,,,,3.75
flat_values,2016-02-25 03:31:00+01:00,2016-02-25 08:16:00+01:00,,,,,4.75
flat_values,2016-02-25 19:46:00+01:00,2016-02-26 01:31:00+01:00,,,,,5.75
flat_values,2016-02-26 03:16:00+01:00,2016-02-26 07:01:00+01:00,,,,,3.75
flat_values,2016-02-26 19:16:00+01:00,2016-02-26 22:16:00+01:00,,,,,3.0
flat_values,2016-02-27 13:16:00+01:00,2016-02-27 15:46:00+01:00,,,,,2.5
flat_values,2016-02-27 20:31:00+01:00,2016-02-27 22:46:00+01:00,,,,,2.25
flat_values,2016-02-28 03:46:00+01:00,2016-02-28 08:01:00+01:00,,,,,4.25
flat_values,2016-03-16 09:15:00+01:00,2016-03-16 11:30:00+01:00,,,,,2.25
flat_values,2016-11-01 21:30:00+01:00,2016-11-02 01:15:00+01:00,,,,,3.75
flat_values,2016-11-04 01:45:00+01:00,2016-11-04 04:00:00+01:00,,,,,2.25
flat_values,2016-11-14 00:45:00+01:00,2016-11-14 03:30:00+01:00,,,,,2.75
flat_values,2016-11-14 16:46:00+01:00,2016-11-14 19:46:00+01:00,,,,,3.0
flat_values,2016-11-14 21:46:00+01:00,2016-11-15 06:16:00+01:00,,,,,8.5
flat_values,2016-11-15 23:46:00+01:00,2016-11-16 02:16:00+01:00,,,,,2.5
flat_values,2016-11-16 22:31:00+01:00,2016-11-17 02:31:00+01:00,,,,,4.0
flat_values,2016-11-18 14:01:00+01:00,2016-11-18 16:01:00+01:00,,,,,2.0
flat_values,2016-11-19 01:31:00+01:00,2016-11-19 04:01:00+01:00,,,,,2.5
flat_values,2016-11-19 04:31:00+01:00,2016-11-19 08:16:00+01:00,,,,,3.75
flat_values,2016-11-19 12:16:00+01:00,2016-11-19 15:16:00+01:00,,,,,3.0
flat_values,2016-11-19 19:46:00+01:00,2016-11-19 22:16:00+01:00,,,,,2.5
flat_values,2016-11-20 02:46:00+01:00,2016-11-20 05:31:00+01:00,,,,,2.75
flat_values,2016-11-20 07:01:00+01:00,2016-11-20 09:31:00+01:00,,,,,2.5
flat_values,2016-11-20 20:01:00+01:00,2016-11-20 22:31:00+01:00,,,,,2.5
flat_values,2016-11-22 02:01:00+01:00,2016-11-22 05:31:00+01:00,,,,,3.5
flat_values,2016-11-22 18:31:00+01:00,2016-11-22 23:16:00+01:00,,,,,4.75
flat_values,2016-11-23 08:31:00+01:00,2016-11-23 10:31:00+01:00,,,,,2.0
flat_values,2016-11-23 11:46:00+01:00,2016-11-23 14:46:00+01:00,,,,,3.0
flat_values,2016-11-23 17:31:00+01:00,2016-11-23 22:01:00+01:00,,,,,4.5
flat_values,2016-11-23 23:31:00+01:00,2016-11-24 02:01:00+01:00,,,,,2.5
flat_values,2016-11-24 05:01:00+01:00,2016-11-24 07:01:00+01:00,,,,,2.0
flat_values,2016-11-24 18:16:00+01:00,2016-11-24 22:16:00+01:00,,,,,4.0
flat_values,2016-11-25 01:16:00+01:00,2016-11-25 07:31:00+01:00,,,,,6.25
flat_values,2016-11-25 19:46:00+01:00,2016-11-26 00:46:00+01:00,,,,,5.0
flat_values,2016-11-26 18:31:00+01:00,2016-11-26 22:01:00+01:00,,,,,3.5
flat_values,2016-11-27 00:16:00+01:00,2016-11-27 03:31:00+01:00,,,,,3.25
flat_values,2016-11-27 06:16:00+01:00,2016-11-27 09:01:00+01:00,,,,,2.75
flat_values,2016-11-27 20:16:00+01:00,2016-11-27 23:16:00+01:00,,,,,3.0
flat_values,2016-11-28 20:46:00+01:00,2016-11-29 08:31:00+01:00,,,,,11.75
flat_values,2016-11-30 05:46:00+01:00,2016-11-30 08:46:00+01:00,,,,,3.0
flat_values,2016-11-30 11:16:00+01:00,2016-11-30 14:16:00+01:00,,,,,3.0
